# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,2199623,29303,11666,245782,422690,32389,12907,1594,327,4371,55779,2429,2548625,20055,6225,263736,448226,22337,3519,240,102,1323,17035,428,581413,9769,1040,67862,118099,4777,1531,47,12,238,2306,119
1,2216628,28762,11352,245865,423699,32584,12349,1136,236,4246,48297,2605,6368025,77876,8629,689283,1278727,78007,12984,281,93,666,15916,416,581857,9767,1038,67923,118185,5333,1599,97,3,1144,2228,133
1,2176423,28723,11442,242883,419095,32306,12155,1092,231,9203,48056,2540,6653067,87059,11870,744248,1328831,83369,13327,260,140,1460,17826,458,581469,9761,1039,67862,118081,5127,1547,46,7,636,2344,108
1,1700070,25419,11094,198384,338345,29109,10512,966,232,6813,43105,2100,1402550,18187,6441,148683,249806,11989,3708,262,116,1165,15209,493,580462,9734,1040,67672,117851,5503,1580,47,12,169,2289,112
1,1720987,25423,11171,199178,340085,28343,10537,1066,229,2721,42492,2178,1179844,10184,3337,102214,183393,8211,3396,289,104,406,14008,483,580512,9752,1038,67683,117893,4813,1556,48,11,162,2272,125
1,2199642,29249,11898,245778,422693,32013,12796,1616,326,3946,55323,2449,2560552,20198,6255,264558,450564,22381,3957,223,134,324,16122,452,581655,9774,1038,67892,118108,5193,1550,47,3,141,2238,126
1,2239755,29520,11839,249079,427484,34184,13667,1658,300,3150,56821,2330,2311087,11844,3079,216010,381551,18359,3481,256,102,369,16518,269,581020,9769,1038,67767,117930,5189,1573,47,8,363,2328,107
1,2240770,29503,11820,249102,427711,33764,13386,1566,305,3543,56850,2376,2288819,11844,3090,215765,377003,18279,3374,225,96,349,14535,336,580812,9775,1037,67720,118954,5980,1562,47,5,170,2285,137
1,2216628,28835,11477,245865,423696,32963,12798,1109,247,3115,48050,2403,6382240,77889,8657,691007,1268425,79267,12945,255,129,395,16048,364,581813,9785,1038,67921,118202,5425,1574,49,7,208,2248,118
1,1700125,25476,11216,198384,338348,29039,10558,952,230,3528,42994,2322,1416924,18464,6522,150424,252316,12259,3700,252,121,389,15161,510,580978,9777,1041,67789,117995,5075,1575,46,3,728,2312,124
1,2216629,28857,11655,245866,423702,32560,12559,1105,228,4229,48044,2516,6388825,78337,8645,691331,1254047,78651,12911,242,100,710,16987,401,581934,9780,1037,67928,118187,5507,1574,45,11,184,2301,130
1,2190866,28704,11748,245201,421018,33633,13474,1124,202,2808,48774,2382,6500206,78304,8607,702138,1264011,78030,13438,259,98,387,17811,368,580393,9769,1039,67639,117962,5206,1548,45,33,116,2265,124
1,1700071,25402,11308,198385,338342,29762,10803,1000,214,5503,42871,2112,1409703,18335,6469,149393,250995,12222,3710,262,99,590,15924,516,580525,9750,1038,67692,117855,5291,1558,53,3,227,2754,112
1,2240739,29395,11927,249099,427712,33390,13719,1580,335,5590,55252,2429,2288819,11844,3081,215765,377003,18142,3391,227,107,427,15100,345,580820,9781,1039,67723,117960,5872,1866,48,15,121,2284,129
1,2238311,29449,12026,249053,427212,33109,13627,1666,302,4899,56890,2435,2375821,12262,3225,220246,387039,18255,3326,240,92,461,14762,313,581360,9782,1038,67844,118070,5081,1562,258,21,389,2382,139
1,1700125,25430,11096,198384,338352,29708,10758,965,220,3106,42305,2191,1409769,18333,6477,149712,253505,12373,3791,268,102,575,15997,529,580999,9758,1039,67774,117985,5194,1568,47,7,152,2274,124
1,2239755,29484,11910,249079,427488,32663,13372,1599,331,4472,56782,2382,2311089,11872,3073,216012,381551,18108,3412,237,91,486,16076,265,580981,9777,1037,67748,117941,5001,1571,47,2,105,2366,128
1,2240489,29284,11692,249098,427655,34130,13310,1574,335,5041,55906,2422,2325939,11896,3103,216536,379914,18354,3336,220,113,408,13780,324,581278,9771,1037,67806,118044,5197,1561,51,31,138,2257,139
1,2200343,29279,11754,245798,422873,32623,12884,1566,332,7869,55709,2552,2535113,19970,6207,264041,443966,22466,4266,240,127,1519,15826,403,581393,9768,1040,67851,118035,5076,1582,50,2,238,2320,115
