# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,1639,46,12,500,538,76,57,5,0,2,250,0,4040,120,26,1109,1332,88,74,12,1,5,634,1,10401,77,24,2314,907,94,62,8,0,15,860,0
1,1633,46,12,499,537,63,43,5,0,2,236,0,4122,122,26,1141,1367,72,55,12,1,10,621,1,2761,77,25,892,906,85,52,8,0,2,358,0
1,1633,48,12,499,537,72,52,5,0,3,250,1,4078,126,25,1125,1350,84,69,13,1,8,636,3,2761,81,25,892,906,95,62,8,0,4,379,2
1,1633,53,12,499,537,68,49,5,0,2,239,63,4628,126,25,1333,1586,98,84,12,0,2,653,33,2761,86,24,892,906,89,57,8,0,2,379,66
1,1637,51,12,499,537,68,50,5,0,0,242,1,5459,126,25,1653,1943,89,74,12,0,11,630,1,2765,82,24,892,906,86,56,8,0,0,372,1
1,1639,46,12,500,538,50,30,5,0,4,237,1,4370,121,26,1237,1475,77,58,11,1,3,618,4,2767,78,24,893,907,71,38,8,0,5,370,1
1,1637,52,12,499,537,65,51,5,0,8,236,55,5336,125,25,1605,1890,98,86,13,1,6,657,42,2765,84,24,892,906,85,60,8,0,8,362,56
1,1625,45,12,493,530,45,25,5,0,6,241,0,2042,64,18,627,656,42,25,11,1,10,368,0,2753,79,24,886,899,65,32,8,0,9,373,0
1,1637,45,12,499,537,78,61,5,0,0,219,0,5762,121,25,1765,2069,89,71,29,1,5,619,2,2765,77,24,892,906,98,69,8,0,1,351,0
1,1633,44,12,499,537,35,14,5,0,7,239,1,4829,121,25,1413,1673,64,45,10,1,16,609,0,2761,78,24,892,906,56,22,8,0,7,363,1
1,1637,51,12,499,537,65,49,5,0,9,228,62,5016,128,25,1480,1745,97,84,12,0,28,654,46,2765,83,24,892,906,87,57,8,0,9,366,65
1,1629,45,12,493,530,31,14,5,0,5,246,0,2042,65,18,627,656,37,22,5,1,9,383,0,2757,76,24,886,899,49,20,8,0,11,354,0
1,1666,42,12,500,545,40,20,5,0,5,233,0,2042,64,18,627,656,34,20,6,0,5,364,1,2794,74,24,893,914,59,27,8,0,5,365,0
1,1633,45,12,499,537,36,15,5,0,2,233,0,4622,120,25,1333,1584,58,39,13,1,7,624,0,2761,78,24,892,906,56,22,8,0,3,367,0
1,1639,46,12,500,538,35,15,5,0,0,229,0,3859,116,25,1042,1258,52,34,20,1,4,597,0,2767,78,24,893,907,56,23,8,1,0,357,1
1,1637,45,12,499,537,37,18,5,0,5,232,1,4915,123,25,1445,1710,65,44,12,1,12,620,1,2765,80,24,892,906,59,26,8,1,6,350,1
