# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,1639,45,12,500,538,40,19,5,0,1,257,3,4202,121,25,1173,1404,65,46,19,0,8,601,1,2767,76,24,893,907,58,25,8,0,2,380,3
1,1639,44,12,500,538,37,17,5,0,5,252,0,4706,122,25,1365,1620,64,46,13,1,5,627,0,2767,77,24,893,907,57,24,8,1,6,376,0
1,1637,44,12,499,537,34,15,5,0,20,231,0,4959,118,25,1461,1726,53,34,11,1,31,663,0,2765,76,24,892,906,55,24,8,0,31,364,0
1,1633,47,12,499,537,80,59,5,0,1,255,0,4666,120,25,1349,1601,94,74,20,0,5,637,2,2761,79,25,892,906,100,67,8,0,1,394,0
1,1660,45,12,499,544,38,17,5,0,9,228,0,2042,64,18,627,656,32,16,10,0,15,379,0,2788,78,24,892,913,59,25,8,0,16,375,0
1,1637,48,12,499,537,36,19,5,0,1,238,2,5464,124,25,1653,1942,76,60,21,0,10,622,1,2765,82,24,892,906,57,27,8,0,3,364,2
1,1637,45,13,499,537,78,62,5,0,14,219,0,5424,122,26,1637,1925,93,76,13,0,33,566,1,2765,78,25,892,906,101,71,8,0,19,370,0
1,1633,45,12,499,537,54,33,5,0,1,239,0,4120,120,25,1141,1367,77,58,12,1,4,616,0,2761,77,24,892,906,77,41,8,1,1,374,0
1,1633,50,12,499,537,71,51,5,0,5,232,0,4832,128,25,1413,1673,99,83,13,1,8,632,2,2761,84,24,892,906,94,61,8,0,6,355,0
1,1633,46,12,499,537,34,14,5,0,8,236,0,4496,123,25,1285,1530,65,46,19,2,23,651,0,2761,80,24,892,906,55,21,8,0,11,369,0
1,1633,47,12,499,537,46,27,2,0,3,255,0,4511,127,25,1288,1529,73,61,12,1,8,644,0,2761,78,24,892,906,64,33,5,0,3,390,2
1,1639,45,12,500,538,43,21,5,0,9,248,1,3855,119,25,1042,1256,77,59,19,1,26,548,1,2767,78,24,893,907,64,28,8,0,16,381,1
1,1633,49,12,499,537,70,50,5,0,1,256,2,4286,126,25,1205,1440,96,79,13,0,6,640,4,2761,80,24,892,906,90,57,8,0,2,391,2
1,1629,42,12,493,530,39,20,5,0,2,233,1,2042,64,18,627,656,34,19,5,0,5,382,2,2757,73,24,886,899,58,26,8,0,3,368,1
1,1639,51,12,500,538,62,49,5,0,2,254,54,4036,131,25,1109,1332,97,85,13,1,4,644,20,2767,83,24,893,907,82,57,8,0,3,386,55
1,1637,49,12,499,537,38,20,5,0,8,237,1,5170,119,25,1541,1818,72,59,10,1,11,638,0,2765,83,24,892,906,58,28,8,0,9,367,1
1,1666,44,12,500,545,54,32,5,0,6,223,1,2042,66,18,627,656,42,24,5,0,16,375,0,2794,76,24,893,914,75,40,8,0,8,365,1
1,1637,45,12,499,537,35,16,5,0,8,298,0,4962,118,25,1461,1726,54,34,13,1,12,684,2,2765,79,24,892,906,59,26,8,0,8,443,0
1,1633,44,12,499,537,40,19,5,0,1,250,1,4162,120,25,1157,1385,63,48,12,1,7,615,0,2761,78,24,892,906,60,27,8,0,2,376,1
1,1633,45,12,499,537,43,22,5,0,1,245,0,4076,122,25,1125,1350,68,50,21,1,4,643,3,2761,78,24,892,906,62,29,8,0,2,376,1
1,1637,44,12,499,537,40,20,5,0,3,227,1,5083,121,25,1509,1781,69,51,12,0,4,641,2,2765,76,24,892,906,60,28,8,0,3,367,2
1,1633,45,12,499,537,38,18,5,0,2,247,0,4748,120,25,1381,1637,60,45,18,1,8,615,1,2761,79,24,892,906,58,26,8,0,3,365,1
1,1660,50,12,499,544,74,54,5,0,2,245,60,2042,66,18,627,656,52,35,12,0,5,407,17,2788,82,24,892,913,95,62,8,0,2,379,61
1,1639,45,12,500,538,37,18,5,0,3,237,0,4710,122,25,1365,1618,62,43,18,0,7,612,1,2767,79,24,893,907,57,25,8,0,4,356,0
1,1633,50,12,499,537,67,52,5,1,5,263,58,4579,128,25,1317,1565,99,87,21,1,5,645,46,2761,82,24,892,906,87,59,8,1,6,402,62
1,1633,51,12,499,537,67,52,5,0,2,252,57,4288,131,26,1205,1439,98,86,13,1,5,642,30,2761,83,24,892,906,86,60,8,0,3,391,61
1,1633,47,12,499,537,38,16,5,0,1,255,0,4791,121,25,1397,1655,57,39,12,1,11,587,0,2761,81,24,892,906,60,23,8,0,2,387,0
1,1666,47,12,500,545,53,30,5,0,12,246,0,2042,66,19,627,656,43,24,7,0,10,300,0,2794,80,24,893,914,76,40,8,0,22,365,0
1,1637,46,12,499,537,37,18,5,0,4,239,1,5672,122,25,1733,2034,62,43,12,0,7,605,2,2765,80,24,892,906,58,26,8,0,4,374,1
1,1637,49,12,499,537,68,52,5,0,5,242,60,5336,127,25,1605,1888,103,84,12,0,4,648,42,2765,82,24,892,906,88,59,8,0,5,382,61
1,1637,45,12,499,537,36,16,5,0,5,225,0,5422,122,25,1637,1925,62,47,13,1,4,605,0,2765,76,24,892,906,55,23,8,0,5,347,0
1,1633,45,12,499,537,36,15,5,0,2,258,3,4787,120,25,1397,1656,71,56,13,0,4,607,0,2761,80,24,892,906,59,24,8,0,2,389,3
1,1637,45,12,499,537,37,18,5,0,8,256,0,5300,119,25,1589,1871,56,38,19,1,12,646,1,2765,79,24,892,906,57,25,8,0,8,387,0
1,1633,48,12,499,537,76,59,5,0,0,234,0,4498,120,25,1285,1528,94,76,18,0,3,618,2,2761,80,24,892,906,97,67,8,0,0,373,0
1,1639,49,12,500,538,67,51,5,0,5,278,40,4875,131,25,1429,1692,98,86,13,0,11,664,39,2767,79,24,893,907,87,60,8,0,5,418,44
1,1633,52,12,499,537,69,52,5,0,5,252,56,4451,131,25,1269,1511,97,84,12,1,7,643,35,2761,83,24,892,906,88,59,8,0,6,389,59
1,1639,50,12,500,538,71,53,5,0,1,242,1,4369,122,25,1237,1474,87,71,11,1,3,619,2,2767,81,24,893,907,90,60,8,0,1,368,1
1,1639,44,12,500,538,37,17,5,0,1,251,1,4199,124,25,1173,1403,75,56,12,1,4,600,1,2767,77,24,893,907,58,25,8,0,1,380,1
1,1660,45,12,499,544,62,43,5,0,9,254,0,2042,64,18,627,656,46,32,12,0,11,349,0,2788,77,24,892,913,80,49,8,0,13,381,0
1,1637,49,12,499,537,68,51,5,0,1,251,0,5800,127,25,1781,2086,99,83,22,0,2,635,2,2765,80,24,892,906,88,59,8,0,2,381,1
1,1639,46,12,500,538,33,13,5,0,15,236,1,4206,119,25,1173,1403,51,35,13,0,28,567,0,2767,80,24,893,907,54,20,8,0,18,382,1
1,1637,49,12,499,537,68,50,5,0,10,249,1,4917,125,25,1445,1672,84,67,19,1,7,633,3,2765,82,24,892,906,92,60,8,0,11,396,2
1,1637,45,12,499,537,39,20,5,0,1,245,0,5086,122,25,1509,1781,60,44,12,1,12,617,1,2765,77,24,892,906,58,27,8,0,1,382,0
1,1633,45,12,499,537,54,34,5,0,0,238,0,4124,119,25,1141,1367,79,60,12,1,8,604,0,2761,77,24,892,906,74,41,8,0,0,367,0
1,1639,45,12,500,538,38,18,5,0,16,279,0,3855,117,25,1042,1254,69,49,12,0,25,498,0,2767,76,24,893,907,61,28,8,0,25,425,0
1,1666,51,12,500,545,74,58,5,0,3,224,0,2042,66,18,627,656,47,30,6,0,7,407,1,2794,82,24,893,914,93,65,8,0,4,355,0
1,1633,46,12,499,537,35,14,5,0,2,235,0,4453,121,25,1269,1511,59,39,10,1,9,599,0,2761,78,24,892,906,57,23,8,0,3,353,0
1,1637,44,12,499,537,37,18,5,0,2,241,1,5293,121,25,1589,1872,68,50,13,1,7,599,0,2765,77,24,892,906,56,24,8,0,3,362,1
1,1625,45,12,493,530,50,28,5,0,3,222,0,2042,63,18,627,656,41,23,10,0,9,402,1,2753,76,24,886,899,68,34,8,0,7,399,1
1,1643,46,12,500,538,38,19,5,0,3,253,0,5210,119,25,1557,1836,58,40,13,1,7,601,0,2771,79,24,893,907,60,28,8,0,4,379,0
1,1643,50,12,500,538,63,48,5,0,3,255,53,6432,147,25,1909,2277,110,94,13,2,8,731,47,2771,82,24,893,907,83,58,8,0,4,401,55
1,1633,45,12,499,537,39,19,5,0,1,227,2,4241,119,25,1189,1421,64,45,12,0,6,599,2,2761,76,24,892,906,59,26,8,0,2,355,2
1,1643,50,12,500,538,71,52,5,0,7,268,43,5548,128,25,1685,1984,99,85,21,0,20,638,41,2771,82,24,893,907,93,61,8,1,9,414,45
1,1637,44,12,499,537,34,15,5,0,13,255,0,5165,123,25,1541,1823,56,37,31,1,21,609,0,2765,76,24,892,906,54,22,17,0,22,406,0
1,1633,46,12,499,537,34,14,5,0,13,244,1,4622,120,25,1333,1583,66,47,20,0,20,626,1,2761,77,24,892,906,53,22,8,0,19,370,2
1,1660,50,12,499,544,79,63,5,0,1,250,57,2042,70,18,627,656,64,46,12,0,3,411,13,2788,82,24,892,913,101,71,8,0,1,388,58
1,1633,43,12,499,537,40,20,5,0,3,253,1,4246,121,25,1189,1421,68,49,12,0,8,648,2,2761,76,24,892,906,61,28,8,0,4,382,2
1,1660,45,12,499,544,55,33,5,0,2,261,0,2042,63,18,627,656,45,26,10,1,3,407,0,2788,76,24,892,913,74,40,8,0,3,402,1
1,1633,45,12,499,537,42,22,5,0,4,249,2,4409,121,25,1253,1493,77,57,21,1,11,624,3,2761,79,24,892,906,68,34,8,0,4,376,2
1,1637,44,12,499,537,41,21,5,0,1,252,0,5506,122,25,1669,1962,70,50,20,1,3,635,1,2765,77,24,892,906,63,28,8,0,1,387,1
1,1668,49,12,505,551,70,51,5,0,6,265,0,6489,148,25,1928,2300,105,85,13,1,7,692,1,2796,79,24,898,920,89,59,8,0,8,403,0
1,1633,45,12,499,537,36,16,5,0,3,223,0,4244,122,25,1189,1420,67,52,12,1,8,605,2,2761,75,24,892,906,56,23,8,0,4,350,0
1,1633,44,12,499,537,37,18,5,0,2,248,1,4286,122,25,1205,1438,66,47,13,1,2,637,1,2761,77,24,892,906,57,25,8,0,2,381,1
1,1660,49,12,499,544,76,56,5,0,3,236,0,2042,66,18,627,656,46,32,5,1,2,397,1,2788,80,24,892,913,96,64,8,0,3,372,0
1,1637,43,12,499,537,39,20,5,0,3,243,1,5251,118,25,1573,1853,68,49,12,1,2,647,3,2765,75,24,892,906,60,28,8,0,3,377,2
1,1637,50,12,499,537,66,51,5,0,1,233,60,5588,129,25,1701,1997,98,83,12,0,4,646,38,2765,82,24,892,906,89,61,8,0,2,380,62
1,1637,46,12,499,537,36,18,5,0,5,251,0,5339,119,25,1605,1890,58,41,12,0,3,612,2,2765,79,24,892,906,57,27,8,0,5,378,0
1,1643,46,12,500,538,35,16,5,0,2,240,0,5546,119,25,1685,1984,61,43,13,1,5,612,0,2771,80,24,893,907,56,24,8,1,2,370,0
1,1637,45,12,499,537,34,14,5,0,12,288,0,5799,123,25,1781,2087,59,39,13,1,16,659,0,2765,79,24,892,906,53,21,8,0,12,417,0
1,1637,51,12,499,537,63,48,5,0,5,247,59,5086,135,25,1509,1782,98,87,21,0,5,624,43,2765,83,24,892,906,84,57,8,0,7,384,61
1,1643,50,12,500,538,68,49,5,0,1,250,3,5548,125,25,1685,1982,94,78,11,1,5,646,2,2771,81,24,893,907,87,56,8,0,2,383,3
1,1625,46,12,493,530,82,60,5,0,20,286,54,2042,69,19,627,656,68,45,7,1,15,380,17,2753,79,24,886,899,104,69,8,0,28,478,57
1,1637,52,12,499,537,66,49,5,0,8,250,53,5254,131,25,1573,1853,98,89,13,0,8,651,44,2765,84,24,892,906,87,57,8,0,11,392,55
1,1633,46,12,499,537,37,16,5,0,2,251,1,4580,121,25,1317,1566,65,50,12,1,4,596,0,2761,80,24,892,906,58,24,8,0,3,365,1
1,1637,47,12,499,537,39,21,5,0,2,244,1,5671,122,25,1733,2034,67,47,12,0,5,641,1,2765,78,24,892,906,59,28,8,0,2,375,1
1,1637,51,12,499,537,68,50,5,0,1,225,0,5797,126,26,1781,2088,94,80,12,1,7,604,0,2765,82,24,892,906,88,57,8,0,2,356,0
1,1637,45,12,499,537,34,15,5,0,1,229,0,5592,120,25,1701,1996,67,47,19,1,7,606,1,2765,76,24,892,906,55,23,8,0,3,346,0
1,1637,53,12,499,537,66,51,5,0,7,226,50,5128,129,25,1525,1805,98,85,21,0,11,626,46,2765,84,24,892,906,88,61,8,0,9,371,51
1,1643,44,12,500,538,47,26,5,0,1,237,0,6412,140,25,1906,2276,97,72,12,1,5,648,1,2771,77,24,893,907,70,35,8,0,1,362,0
1,1660,44,12,499,544,39,19,9,0,10,250,1,2042,64,18,627,656,36,20,12,1,17,377,2,2788,77,24,892,913,60,27,12,0,13,392,2
1,1637,45,12,499,537,34,15,5,0,2,240,0,5252,118,25,1573,1853,56,38,12,1,5,608,1,2765,79,24,892,906,55,23,8,0,3,363,0
1,1639,46,12,500,538,53,32,5,0,5,242,1,3855,120,25,1042,1256,76,59,12,0,5,664,1,2767,77,24,893,907,71,38,8,0,7,361,1
1,1637,45,12,499,537,37,17,5,0,3,239,3,5590,120,25,1701,1997,66,47,12,1,9,624,0,2765,77,24,892,906,57,23,8,0,4,362,3
1,1637,53,13,499,537,63,51,8,0,9,249,64,5300,130,25,1589,1875,99,85,21,1,8,649,47,2765,85,25,892,906,83,59,11,0,10,391,66
1,1637,44,12,499,537,33,14,5,0,4,240,0,5506,120,25,1669,1962,58,37,12,1,4,637,0,2765,78,24,892,906,56,23,8,0,5,373,0
1,1668,51,12,505,551,73,52,5,0,5,266,56,6468,158,25,1925,2299,145,124,11,1,11,696,52,2796,84,24,898,920,95,61,8,0,6,405,57
1,1660,44,14,499,544,59,37,5,0,6,255,0,2042,68,18,627,656,46,25,10,1,10,412,0,2788,75,26,892,913,79,44,8,0,11,361,0
1,1633,51,12,499,537,69,51,5,0,4,244,56,4793,129,25,1397,1656,97,86,12,0,9,641,38,2761,83,24,892,906,89,59,8,0,5,389,58
1,1633,45,12,499,537,31,10,5,0,14,225,0,4582,124,25,1317,1567,68,48,12,1,22,551,1,2761,76,24,892,906,49,17,8,0,21,368,0
1,1637,51,12,499,537,68,50,5,0,7,251,1,5126,125,25,1525,1800,96,79,29,0,5,638,3,2765,82,24,892,906,86,56,8,0,7,391,2
1,1639,46,12,500,538,55,33,5,0,4,248,0,4876,122,25,1429,1692,85,66,12,1,4,603,0,2767,78,24,893,907,77,42,8,0,4,374,0
1,1639,45,12,500,538,40,22,5,0,0,264,1,3855,120,25,1042,1255,65,46,12,0,5,617,2,2767,79,24,893,907,62,31,8,0,0,401,1
1,1637,44,12,499,537,39,20,5,0,3,232,0,5462,120,25,1653,1945,62,44,12,1,6,609,1,2765,76,24,892,906,60,29,8,0,3,374,0
1,1637,53,12,499,537,66,51,5,0,7,249,64,5340,126,25,1605,1890,100,84,12,1,5,637,41,2765,84,24,892,906,84,58,8,0,8,392,67
1,1633,45,12,499,537,31,11,5,0,2,231,0,4665,121,25,1349,1601,56,36,12,0,4,616,0,2761,78,24,892,906,51,18,8,0,2,362,0
1,1633,46,12,499,537,37,16,5,0,1,243,0,4119,125,25,1141,1369,70,52,20,1,10,602,1,2761,80,24,892,906,58,23,8,0,2,370,0
1,1637,45,12,499,537,37,18,5,0,14,229,1,5254,122,25,1573,1852,63,44,12,0,23,618,0,2765,79,24,892,906,59,27,8,0,18,367,1
1,1639,45,12,500,538,54,36,5,0,2,250,0,4706,124,26,1365,1619,86,72,11,1,7,593,1,2767,78,24,893,907,76,45,8,0,3,379,0
1,1643,44,12,500,538,36,16,5,0,3,235,0,5210,119,25,1557,1835,66,47,11,1,3,639,1,2771,78,24,893,907,58,24,8,0,3,362,0
1,1633,47,12,499,537,75,56,5,0,4,254,65,4254,122,25,1189,1421,99,81,12,0,6,641,28,2761,80,24,892,906,96,64,8,0,5,389,66
1,1643,51,12,500,538,68,50,5,0,4,254,2,5378,126,25,1621,1908,92,75,21,1,4,641,2,2771,81,24,893,907,85,55,8,0,7,389,2
1,1633,46,12,499,537,41,20,5,0,2,243,0,4286,122,25,1205,1440,64,50,12,0,2,615,0,2761,79,24,892,906,60,26,8,0,2,378,0
1,1633,44,12,499,537,36,16,5,0,2,258,2,4157,123,25,1157,1386,63,45,13,0,3,636,1,2761,75,24,892,906,55,24,8,0,3,384,2
1,1660,48,12,499,544,42,22,5,0,2,234,0,2042,64,18,627,656,34,20,6,0,6,391,0,2788,79,24,892,913,61,28,8,0,2,361,0
1,1637,45,12,499,537,41,22,5,0,2,252,0,5671,121,25,1733,2034,68,48,13,1,7,636,2,2765,80,24,892,906,62,30,8,0,2,390,0
1,1637,44,12,499,537,38,19,5,0,6,245,2,5647,120,25,1720,2015,67,53,29,1,7,651,0,2765,78,24,892,906,59,27,8,0,7,380,2
1,1637,44,12,499,537,36,17,5,0,3,235,0,5294,120,25,1589,1872,62,43,13,0,5,622,0,2765,77,24,892,906,57,25,8,0,4,363,0
1,1633,45,12,499,537,36,15,5,0,1,242,0,4119,119,25,1141,1368,50,30,13,1,3,608,0,2761,77,24,892,906,56,23,8,0,1,368,0
1,1633,44,12,499,537,81,62,5,0,11,251,0,4493,122,25,1285,1529,94,77,13,0,21,622,1,2761,75,24,892,906,100,68,8,0,14,392,0
1,1637,45,12,499,537,31,12,5,0,1,223,0,5459,121,25,1653,1944,67,47,13,1,7,600,0,2765,77,24,892,906,53,21,8,0,3,352,0
1,1660,45,12,499,544,55,33,5,0,10,246,0,2042,65,19,627,656,42,25,11,1,8,386,0,2788,76,24,892,913,73,39,8,0,12,384,1
1,1633,44,12,499,537,41,20,5,0,1,262,2,4456,121,25,1269,1511,72,51,12,1,4,655,1,2761,78,24,892,906,64,28,8,0,2,403,3
1,1639,44,12,500,538,39,19,5,0,5,256,0,4708,119,25,1365,1619,69,49,12,1,5,617,0,2767,76,24,893,907,60,27,8,0,5,395,0
1,1639,46,12,500,538,46,24,5,0,12,242,0,4703,120,25,1365,1620,78,54,12,1,29,497,0,2767,77,24,893,907,64,29,8,0,18,377,0
1,1643,51,12,500,538,64,48,5,0,4,230,59,5713,131,25,1749,2054,99,87,13,0,8,638,38,2771,83,24,893,907,84,56,8,0,5,368,61
1,1633,47,12,499,537,43,22,5,0,1,255,1,4162,122,25,1157,1385,68,52,13,1,7,623,0,2761,78,24,892,906,62,29,8,0,2,379,1
1,1639,46,12,500,538,47,26,5,0,1,244,0,4040,121,26,1109,1331,70,49,12,1,11,600,1,2767,79,24,893,907,70,36,8,0,2,363,0
1,1637,44,12,499,537,38,19,5,0,1,228,2,5588,121,25,1701,1997,58,40,14,1,7,641,1,2765,76,24,892,906,59,27,8,0,2,353,2
1,1625,46,12,493,530,55,32,5,0,10,226,0,2042,64,18,627,656,45,27,7,0,19,310,0,2753,78,24,886,899,75,40,8,0,15,364,0
1,1660,45,12,499,544,40,19,5,0,0,247,0,2042,64,18,627,656,36,18,10,1,4,424,0,2788,77,24,892,913,59,25,8,0,0,386,1
1,1633,47,12,499,537,71,52,5,0,6,253,0,4792,123,25,1397,4589,85,69,35,0,8,635,26,2761,77,25,892,906,93,60,8,0,6,383,0
