# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,1633,49,12,499,537,64,48,5,0,1,235,61,4639,129,25,1336,1584,108,96,13,0,13,656,32,2761,83,24,892,906,84,57,8,1,1,372,62
1,1666,46,12,500,545,48,26,5,0,2,241,2,2042,63,19,627,656,42,24,9,1,5,349,0,2794,77,24,893,914,65,31,8,0,2,358,2
1,1637,45,12,499,537,33,15,5,0,15,251,1,4958,117,25,1461,1727,51,33,18,1,30,665,0,2765,79,24,892,906,56,25,8,0,19,398,1
1,1639,48,12,500,538,69,50,5,0,2,249,1,4874,129,25,1429,1691,87,69,13,1,2,624,1,2767,79,24,893,907,89,58,8,0,3,384,2
1,1660,44,12,499,544,83,62,5,0,2,226,1,2042,68,18,627,656,48,31,10,1,2,371,0,2788,76,24,892,913,102,68,8,0,3,363,3
1,1660,54,13,499,544,72,59,5,0,2,238,60,2042,66,18,627,656,50,33,10,1,7,396,21,2788,87,25,892,913,92,66,8,0,4,375,63
1,1660,43,12,499,544,51,29,5,0,10,255,1,2042,64,21,627,656,44,29,12,1,17,308,0,2788,74,24,892,913,69,36,8,0,11,397,2
1,1660,49,12,499,544,81,66,5,0,3,241,50,2042,69,18,627,656,64,46,6,0,4,391,13,2788,81,24,892,913,103,74,8,0,3,371,52
1,1625,45,12,493,530,56,33,5,0,3,257,3,2042,65,19,627,656,44,29,11,1,3,392,1,2753,77,25,886,899,76,40,8,0,3,402,3
1,1643,50,12,500,538,68,49,5,0,7,238,0,5042,126,25,1493,1763,98,80,12,0,5,634,2,2771,82,24,893,907,88,57,8,0,7,382,0
1,1637,45,12,499,537,39,20,5,0,0,249,1,5798,121,25,1781,2089,67,50,21,0,6,618,0,2765,79,24,892,906,59,27,8,0,0,380,1
1,1633,51,12,499,537,67,48,5,0,2,245,2,4246,129,26,1189,1421,88,74,21,0,3,653,5,2761,82,24,892,906,87,56,8,0,3,383,2
1,1668,46,12,505,551,42,20,5,0,1,246,1,6470,143,25,1925,2302,80,59,21,1,3,690,3,2796,80,24,898,920,63,27,8,0,1,387,2
1,1633,44,12,499,537,33,12,5,0,10,256,1,3907,118,25,1061,1279,56,36,20,1,20,608,3,2761,75,24,892,906,53,20,8,0,14,395,1
1,1625,45,12,493,530,55,33,5,0,8,198,2,2042,64,19,627,656,40,23,10,0,10,361,1,2753,76,24,886,899,73,40,8,0,13,324,2
1,1643,45,12,500,538,41,20,5,0,3,248,1,5041,389,50,1493,5396,284,245,42,1,3,641,61,2771,76,24,893,907,63,29,8,0,4,373,1
1,1633,47,12,499,537,34,15,5,0,3,257,0,4832,121,25,1413,1674,61,44,13,1,7,625,0,2761,80,24,892,906,55,22,8,0,4,390,0
1,1637,52,12,499,537,65,48,5,0,2,234,44,5588,132,25,1701,1998,98,85,12,0,6,651,30,2765,84,24,892,906,86,56,8,0,3,377,47
1,1633,45,12,499,537,39,18,5,0,4,244,0,4009,119,25,1096,1313,62,46,10,0,11,652,1,2761,78,24,892,906,63,28,8,0,4,372,0
1,1633,46,12,499,537,40,19,5,0,4,241,0,4832,119,25,1413,1674,77,59,12,1,7,639,0,2761,76,24,892,906,60,28,8,0,5,362,0
1,1660,46,12,499,544,50,26,5,0,1,246,0,2042,66,18,627,656,40,24,12,0,2,364,0,2788,77,24,892,913,68,32,8,0,1,373,0
1,1643,47,12,500,538,36,16,5,0,12,233,0,5720,121,25,1749,2051,59,42,12,1,29,642,1,2771,79,24,893,907,58,25,8,0,17,379,0
1,1633,45,12,499,537,46,25,5,0,3,240,0,4750,121,25,1381,1637,76,57,13,0,7,596,2,2761,78,24,892,906,66,31,8,0,4,366,0
1,1633,50,12,499,537,67,51,5,0,1,244,54,4418,131,25,1253,1493,96,82,12,0,4,650,31,2761,82,24,892,906,88,60,8,0,2,379,55
1,1637,44,12,499,537,35,16,5,0,1,232,0,5172,121,25,1541,1817,54,35,11,1,4,622,1,2765,76,24,892,906,56,24,8,0,1,365,0
1,1637,52,12,499,537,66,50,5,0,1,260,58,5756,127,25,1765,2069,98,87,11,0,8,630,48,2765,84,24,892,906,85,58,8,0,1,407,60
1,1637,47,12,499,537,44,25,5,0,9,222,0,8623,120,25,2342,1944,67,53,13,0,48,855,0,2765,79,24,892,906,63,32,8,0,14,377,0
1,1637,44,12,499,537,37,18,5,0,3,240,1,5647,123,25,1720,2015,69,53,13,1,8,675,1,2765,78,24,892,906,58,26,8,0,4,362,1
1,1660,45,12,499,544,58,35,5,0,4,244,0,2042,67,18,627,656,43,25,6,1,4,413,0,2788,77,25,892,913,78,43,8,0,4,385,0
1,1637,44,12,499,537,41,23,5,0,1,236,1,5795,121,25,1781,2087,74,60,13,0,7,641,1,2765,75,24,892,906,63,30,8,0,3,363,1
1,1660,46,12,499,544,65,43,5,0,7,248,0,2042,64,18,627,656,42,22,6,1,24,393,0,2788,78,24,892,913,87,51,8,0,9,374,0
1,1637,50,12,499,537,67,51,5,0,4,247,64,5753,128,25,1765,2070,95,82,21,0,5,636,56,2765,82,24,892,906,88,60,8,0,5,378,66
1,1637,51,12,499,537,68,50,5,0,1,252,1,5627,126,25,1717,2015,95,79,13,1,10,627,1,2765,82,24,892,906,87,57,8,0,1,383,1
1,1637,44,12,499,537,38,19,5,0,2,245,1,5506,120,25,1669,1961,65,47,13,0,12,636,1,2765,78,24,892,906,59,27,8,0,3,378,2
1,1625,51,12,493,530,73,54,5,0,1,246,61,2042,67,18,627,656,54,36,5,0,3,386,18,2753,83,24,886,899,96,63,8,0,1,375,65
1,1637,45,12,499,537,38,19,5,0,1,244,1,5084,122,25,1509,1782,68,50,34,1,9,631,3,2765,79,24,892,906,58,26,8,0,2,373,2
1,1660,43,12,499,544,41,20,5,0,3,229,0,2042,64,18,627,656,36,21,11,1,2,388,0,2788,74,24,892,913,60,27,8,0,5,358,0
1,1637,46,12,499,537,34,16,5,0,4,238,0,5837,120,25,1797,2105,52,35,12,1,7,614,0,2765,80,24,892,906,57,25,8,0,5,362,0
1,1637,48,12,499,537,41,23,5,0,8,235,1,5335,120,25,1605,1888,73,55,11,1,4,615,1,2765,79,24,892,906,62,32,8,0,8,359,1
