# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,2190710,28758,11699,245196,421000,32438,12667,1139,247,3206,47657,2396,6325161,77399,8103,692018,1256993,79024,13255,361,132,390,17341,411,582007,9815,1038,67874,118336,4828,1569,63,13,138,2411,111
1,2216629,28826,11460,245866,423696,32494,12681,1184,224,8949,48484,2428,6415658,78578,8697,694645,1278543,79840,13058,251,124,511,16872,399,581844,9778,1038,67930,118207,5018,1571,51,20,185,2320,123
1,1700071,25403,11110,198385,338341,27244,10533,1116,260,4918,42743,2154,1409701,18314,6463,149393,252184,11581,3770,317,105,389,14551,515,580477,9750,1039,67686,117860,4987,1566,56,4,669,2278,125
1,1718743,25377,11087,199125,339595,29357,11146,984,259,8311,42472,2160,1263582,10675,3507,106524,196810,8324,3147,259,110,424,14446,451,580650,9754,1037,67700,117924,5417,1548,48,7,287,2221,132
1,1697745,25312,11099,198330,337841,28911,10588,1026,245,3880,42973,2225,1478021,19458,6878,157252,266678,12967,3815,254,95,758,15042,551,580975,9756,1040,67770,117976,5645,1603,50,11,232,2238,138
1,1718721,25304,11045,199128,339592,29363,10406,1042,243,5906,42536,2294,1211037,10412,3444,104878,190791,8530,3313,253,73,456,14322,526,580492,9764,1040,67673,117834,5203,1577,51,33,128,2286,130
1,2176340,28606,11352,242883,419093,32460,12371,1097,236,3924,47384,2393,6628760,86728,11818,741959,1329719,84791,13256,256,135,445,17889,429,581342,9774,1039,67844,118078,5021,1568,50,4,134,2277,109
1,2238348,29437,11905,249055,427228,33343,13165,1594,324,4406,57625,2521,2342448,12262,3226,219296,383506,18390,3504,241,93,503,15698,305,580684,9775,1038,67698,117869,5206,1561,48,6,117,2306,139
1,2174123,28631,11592,242838,418643,32526,12409,1097,247,3625,46718,2342,6754753,88441,12312,755839,1349078,83296,13472,274,93,488,17200,452,581324,9775,1040,67810,118079,5483,1561,48,7,201,2243,116
1,2216792,28900,11638,245866,423733,30984,12652,1242,213,3360,47833,2563,6376477,78456,8672,693099,1280128,78906,13011,279,116,509,17341,402,581644,9768,1037,67878,118139,4922,1592,47,35,197,2271,120
1,1700127,25419,11196,198386,338348,29228,10677,956,255,2348,42554,2194,1416924,18466,6527,150424,252316,12623,4122,250,113,391,14877,544,580964,9748,1038,67776,118007,5227,1562,47,34,592,2274,109
