# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,1625,43,12,493,530,39,19,5,0,18,239,1,2042,65,18,627,656,37,23,12,1,12,301,1,2753,77,24,886,899,61,29,8,0,24,366,2
1,1643,50,12,500,538,68,49,5,0,4,251,0,5042,125,25,1493,1763,94,77,12,1,7,641,1,2771,81,24,893,907,87,56,8,0,4,384,0
1,1637,46,12,499,537,42,23,5,0,1,235,0,5464,119,25,1653,1944,63,45,13,1,4,638,2,2765,79,24,892,906,62,30,8,0,1,380,0
1,1639,45,12,500,538,39,19,5,0,3,243,0,4874,122,25,1429,1692,63,45,12,1,6,613,0,2767,76,24,893,907,57,25,8,0,4,362,0
1,1639,45,12,500,538,39,19,5,0,7,240,0,4706,121,25,1365,1619,63,47,22,0,29,492,0,2767,78,24,893,907,58,25,8,0,12,358,1
1,1633,47,12,499,537,76,60,5,0,23,336,65,4831,139,25,1413,1672,129,114,12,0,18,705,42,2761,81,24,892,906,98,69,8,0,24,486,66
1,1639,46,12,500,538,40,20,5,0,1,237,0,4205,122,25,1173,1402,64,45,13,1,6,616,2,2767,78,24,893,907,61,29,8,0,2,367,0
1,1637,46,12,499,537,36,17,5,0,15,206,0,4964,121,25,1461,1728,57,37,12,0,16,614,1,2765,78,24,892,906,57,25,8,0,19,349,0
1,1660,47,12,499,544,41,21,5,0,2,249,2,2042,68,18,627,656,39,24,6,0,4,395,0,2788,79,24,892,913,63,31,8,0,3,374,2
1,1633,46,12,499,537,37,16,5,0,1,260,0,3947,121,25,1077,1296,56,38,13,1,9,664,0,2761,81,24,892,906,59,25,8,0,2,397,0
