# TYPE,RET,CALL_D,CALL_ID,LOAD,STORE,MISP_BR,MISP_BR_C,MISS_ITLB,MISS_DTLBS,STLB_HIT,MISS_ICACHE,MISS_LLC
1,31821,664,201,6676,9738,841,392,26,35,218,2800,5
1,31870,665,201,6682,9745,809,379,26,22,162,3062,0
1,32190,676,201,6725,9799,825,349,19,21,117,2996,26
1,31834,665,201,6673,9740,958,451,70,15,139,3067,1
1,31846,652,201,6680,9742,896,326,57,35,142,3124,5
1,31792,662,201,6661,9757,810,380,26,35,141,3008,1
1,31824,652,201,6670,9743,734,249,26,35,185,3382,1
1,32155,680,202,6711,9783,831,336,19,35,145,3060,29
1,32114,679,201,6701,9777,838,347,19,35,98,3216,15
1,32147,680,201,6718,9778,842,343,9,35,146,3104,27
1,32155,685,203,6711,9783,999,471,20,35,165,3341,31
1,32120,683,202,6701,9803,845,366,9,35,140,3074,28
1,32167,684,202,6712,9804,910,444,9,21,154,3267,40
1,31848,640,201,6681,9743,1064,378,59,30,175,3423,0
1,31851,646,201,6687,9740,727,214,38,32,138,3000,4
1,31827,644,201,6671,9757,913,313,26,35,136,3055,2
1,32155,679,201,6711,9803,848,376,12,35,147,3017,32
1,32158,684,201,6712,9785,843,359,9,21,163,3406,12
1,32120,680,201,6701,9783,843,371,43,21,217,3182,29
1,31851,655,201,6679,9764,734,219,115,34,132,2964,2
1,32139,679,201,6710,9784,854,377,65,46,111,3165,26
1,31859,650,201,6680,9763,748,249,57,37,231,3011,1
1,31857,658,201,6673,9760,743,247,26,30,117,3035,0
1,31878,667,202,6689,9743,865,301,26,35,145,3262,2
1,31892,656,201,6692,9765,811,281,33,22,128,3019,3
1,31861,653,201,6683,9739,1013,435,26,22,149,3088,2
1,32153,683,201,6704,9782,843,340,18,30,143,3087,69
1,31799,652,201,6663,9739,740,225,35,22,120,3105,1
1,31862,669,201,6682,9757,834,398,35,35,149,3113,3
1,31865,671,201,6674,9740,990,440,65,30,121,3159,1
1,32163,672,201,6712,9783,831,362,19,35,172,3274,36
